Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Interpose  v. (-sing) 1 (often foll. By between) insert (a thing) between others. 2 say (words) as an interruption; interrupt. 3 exercise or advance (a veto or objection) so as to interfere. 4 (foll. By between) intervene (between parties).  interposition n. [latin pono put]
Easter egg  n. Artificial usu. Chocolate egg given at easter.
Andiron  n. Metal stand (usu. One of a pair) for supporting logs in a fireplace. [french andier]
Gazetteer  n. Geographical index. [italian: related to *gazette]
Acetic acid  n. Clear liquid acid giving vinegar its characteristic taste.
Jaw-breaker  n. Colloq. Long or hard word.
Filial  adj. Of or due from a son or daughter.  filially adv. [latin filius, -a son, daughter]
Liana  n. Climbing plant of tropical forests. [french]
Future  -adj. 1 about to happen, be, or become. 2 a of time to come. B gram. (of a tense) describing an event yet to happen. -n. 1 time to come. 2 future events. 3 future condition of a person, country, etc. 4 prospect of success etc. (no future in it). 5 gram. Future tense. 6 (in pl.) Stock exch. Goods etc. Sold for future delivery.  in future from now onwards. [latin futurus future part. Of sum be]
Cash crop  n. Crop produced for sale.
Floss  -n. 1 rough silk of a silkworm's cocoon. 2 silk thread used in embroidery. 3 = *dental floss. -v. (also absol.) Clean (teeth) with dental floss.  flossy adj. [french floche]
Allspice  n. 1 aromatic spice obtained from the berry of the pimento plant. 2 the berry.
Gothic  -adj. 1 of the goths. 2 in the style of architecture prevalent in w. Europe in the 12th–16th c., characterized by pointed arches. 3 (of a novel etc.) In a style popular in the 18th–19th c., with supernatural or horrifying events. 4 barbarous, uncouth. -n. 1 gothic language. 2 gothic architecture. [latin: related to *goth]
Answer  -n. 1 something said or done in reaction to a question, statement, or circumstance. 2 solution to a problem. -v. 1 make an answer or response (to) (answer the door). 2 suit (a purpose or need). 3 (foll. By to, for) be responsible (you will answer to me for your conduct). 4 (foll. By to) correspond, esp. To a description.  answer back answer insolently. [old english, = swear against (a charge)]
Agency  n. (pl. -ies) 1 business or premises of an agent. 2 action; intervention (free agency; by the agency of god). [latin: related to *act]
Aright  adv. Rightly.
Heartfelt  adj. Sincere; deeply felt.
Lignum vitae  n. A hard-wooded tree. [latin, = wood of life]
Imperceptible  adj. 1 not perceptible. 2 very slight, gradual, or subtle.  imperceptibility n. Imperceptibly adv.
Alzheimer's disease  n. Brain disorder causing senility. [alzheimer, name of a neurologist]
Hieroglyphic  -adj. Of or written in hieroglyphs. -n. (in pl.) Hieroglyphs; hieroglyphic writing.
Chewing-gum  n. Flavoured gum for chewing.
Non-intervention  n. (esp. Political) principle or practice of not becoming involved in others' affairs.
Edifice  n. Building, esp. An imposing one. [latin aedis dwelling]
Enema  n. 1 introduction of fluid etc. Into the rectum, esp. To flush out its contents. 2 fluid etc. Used for this. [greek hiemi send]
Advert  n. Colloq. Advertisement. [abbreviation]
Letter-bomb  n. Terrorist explosive device in the form of a postal packet.
Float  -v. 1 a (cause to) rest or move on the surface of a liquid. B set (a stranded ship) afloat. 2 colloq. A move in a leisurely way. B (often foll. By before) hover before the eye or mind. 3 (often foll. By in) move or be suspended freely in a liquid or gas. 4 a start or launch (a company, scheme, etc.). B offer (stock, shares, etc.) On the stock market. 5 commerce cause or allow to have a fluctuating exchange rate. 6 circulate or cause (a rumour or idea) to circulate. -n. 1 thing that floats, esp.: a a raft. B a light object as an indicator of a fish biting or supporting a fishing-net. C a hollow structure enabling an aircraft to float on water. D a floating device on water, petrol, etc., controlling the level. 2 small esp. Electrically-powered vehicle or cart (milk float). 3 decorated platform or tableau on a lorry in a procession etc. 4 a supply of loose change in a shop, at a fête, etc. B petty cash. 5 theatr. (in sing. Or pl.) Footlights. 6 tool for smoothing plaster.  floatable adj. [old english]
Café  n. Small coffee-house or restaurant. [french]
Jukebox  n. Coin-operated record-playing machine. [black juke disorderly]
Hickory  n. (pl. -ies) 1 n. American tree yielding wood and nutlike edible fruits. 2 the tough heavy wood of this. [virginian pohickery]
Emf  abbr. (also e.m.f.) Electromotive force.
Melodeon  n. (also melodion) 1 small organ similar to the harmonium. 2 small german accordion. [from *melody, *harmonium]
Hieroglyph  n. Picture representing a word, syllable, or sound, as used in ancient egyptian etc. [greek hieros sacred, glupho carve]
Debacle  n. (brit. Débâcle) 1 a utter defeat or failure. B sudden collapse. 2 confused rush or rout. [french]
Mixed marriage  n. Marriage between persons of different race or religion.
Grapevine  n. 1 vine. 2 colloq. The means of transmission of a rumour.
Dengue  n. Infectious tropical viral fever. [w. Indian spanish from swahili]
Ploughman  n. (us plowman) person who uses a plough.
Micturition  n. Formal urination. [latin]
Lunatic fringe  n. Extreme or eccentric minority group.
Double dutch  n. Colloq. Gibberish.
Faint  -adj. 1 indistinct, pale, dim. 2 weak or giddy. 3 slight. 4 feeble; timid. 5 (also feint) (of paper) with inconspicuous ruled lines. -v. 1 lose consciousness. 2 become faint. -n. Act or state of fainting.  faintly adv. Faintness n. [french: related to *feign]
Dignify  v. (-ies, -ied) 1 confer dignity on; ennoble. 2 give a fine name to. [latin dignus worthy]
Dehydrate  v. (-ting) 1 remove water from (esp. Foods). 2 make or become dry, esp. Too dry.  dehydration n. [greek hudor water]
Incomprehension  n. Failure to understand.
Aqueous  adj. Of or like water. [latin aqua water]
Gamekeeper  n. Person employed to breed and protect game.
Commonwealth  n. 1 independent state or community, esp. A democratic republic. 2 (the commonwealth) a association of the uk with states that were previously part of the british empire. B republican government of britain 1649–60. 3 federation of states.
Homeward  -adv. (also homewards) towards home. -adj. Going towards home.
Antiquated  adj. Old-fashioned.
Akimbo  adv. (of the arms) with hands on the hips and elbows turned outwards. [originally in kenebowe, probably from old norse]
Brace  -n. 1 device that clamps or fastens tightly. 2 timber etc. Strengthening a framework. 3 (in pl.) Straps supporting trousers from the shoulders. 4 wire device for straightening the teeth. 5 (pl. Same) pair (esp. Of game). 6 rope for trimming a sail. 7 connecting mark { or } in printing. -v. (-cing) 1 make steady by supporting. 2 fasten tightly to make firm. 3 (esp. As bracing adj.) Invigorate, refresh. 4 (often refl.) Prepare for a difficulty, shock, etc. [latin bracchia arms]
Calibre  n. (us caliber) 1 a internal diameter of a gun or tube. B diameter of a bullet or shell. 2 strength or quality of character; ability, importance. [french from italian from arabic, = mould]
Contribution  n. 1 act of contributing. 2 thing contributed.
Prose  -n. 1 ordinary written or spoken language not in verse. 2 passage of prose, esp. For translation into a foreign language. 3 dull or matter-of-fact quality (prose of existence). -v. (-sing) talk tediously. [latin prosa from oratio straightforward (discourse)]
Cu  symb. Copper. [latin cuprum]
Bloodstain  n. Stain caused by blood.  bloodstained adj.
Incurve  v. (-ving) 1 bend into a curve. 2 (as incurved adj.) Curved inwards.  incurvation n.
Frieze  n. 1 part of an entablature between the architrave and cornice. 2 horizontal band of sculpture filling this. 3 band of decoration, esp. At the top of a wall. [latin phrygium (opus) phrygian (work)]
Abroad  adv. 1 in or to a foreign country or countries. 2 widely (scatter abroad). 3 in circulation (rumour abroad).
Little people  n.pl. (prec. By the) fairies.
Buoy  -n. 1 anchored float as a navigation mark etc. 2 lifebuoy. -v. 1 (usu. Foll. By up) a keep afloat. B encourage, uplift. 2 (often foll. By out) mark with a buoy. [dutch, perhaps from latin boia collar]
Information retrieval  n. The tracing of information stored in books, computers, etc.
Convex  adj. Curved like the exterior of a circle or sphere.  convexity n. [latin]
Accord  -v. 1 (often foll. By with) be consistent or in harmony. 2 grant (permission, a request, etc.); give (a welcome etc.). -n. 1 agreement, consent. 2 mus. & art etc. Harmony.  of one's own accord on one's own initiative; voluntarily. With one accord unanimously. [latin cor cord- heart]
Inhospitable  adj. 1 not hospitable. 2 (of a region etc.) Not affording shelter, favourable conditions, etc.  inhospitably adv.
Ecosystem  n. Biological community of interacting organisms and their physical environment.
Ll b  abbr. Bachelor of laws. [latin legum baccalaureus]
Martinmas  n. St martin's day, 11 nov. [from *mass2]
Megalith  n. Large stone, esp. As a prehistoric monument or part of one.  megalithic adj. [greek lithos stone]
Cutter  n. 1 a person or thing that cuts. B (in pl.) Cutting tool. 2 a small fast sailing-ship. B small boat carried by a large ship.
Enlighten  v. 1 (often foll. By on) inform (about a subject). 2 (as enlightened adj.) Progressive.
Brass band  n. Band of brass instruments.
Fl.  Abbr. 1 floruit. 2 fluid.
Harmonious  adj. 1 sweet-sounding; tuneful. 2 forming a pleasing or consistent whole. 3 free from disagreement or dissent.  harmoniously adv.
Eponym  n. 1 word, place-name, etc., derived from a person's name. 2 person whose name is used in this way.  eponymous adj. [greek onoma name]
Apply  v. (-ies, -ied) 1 (often foll. By for, to, or to + infin.) Formally request. 2 be relevant. 3 a make use of; employ (apply the rules; apply common sense). B operate (apply the brakes). 4 (often foll. By to) put or spread on. 5 refl. (often foll. By to) devote oneself. [latin applico fasten to]
Powwow  -n. Meeting for discussion (orig. Among n. American indians). -v. Hold a powwow. [algonquian]
Gerontology  n. The study of old age and the process of ageing. [greek geron geront- old man]
Funnel  -n. 1 tube widening at the top, for pouring liquid etc. Into a small opening. 2 metal chimney on a steam engine or steamship. -v. (-ll-; us -l-) guide or move through or as through a funnel. [provençal fonilh from latin (in)fundibulum]
Bath bun  n. Round spiced bun with currants, often iced. [bath in s. England]
Fashionable  adj. 1 following or suited to current fashion. 2 of or favoured by high society.  fashionableness n. Fashionably adv.
Damn  -v. 1 (often absol. Or as int. Of anger or annoyance, = may god damn) curse (a person or thing). 2 doom to hell; cause the damnation of. 3 condemn, censure (review damning the book). 4 a (often as damning adj.) (of circumstance, evidence, etc.) Show or prove to be guilty. B be the ruin of. -n. 1 uttered curse. 2 slang negligible amount. -adj. & adv. Colloq. = *damned.  damn all slang nothing at all. Damn well colloq. (for emphasis) simply (damn well do as i say). Damn with faint praise commend feebly, and so imply disapproval. I'm (or i'll be) damned if colloq. I certainly do not, will not, etc. Not give a damn see *give. Well i'm (or i'll be) damned colloq. Exclamation of surprise etc. [latin damnum loss]
Hizbollah  var. Of *hezbollah.
Density  n. (pl. -ies) 1 denseness of thing(s) or a substance. 2 physics degree of consistency measured by the quantity of mass per unit volume. 3 opacity of a photographic image.
Dianthus  n. Flowering plant of the genus including the carnation. [greek, = flower of zeus]
Drum kit  n. Set of drums in a band etc.
Garter  n. 1 band worn to keep a sock or stocking up. 2 (the garter) a highest order of english knighthood. B badge or membership of this. [french]
Grandmother  n. Female grandparent.
Perishable  -adj. Liable to perish; subject to decay. -n. Thing, esp. A foodstuff, subject to rapid decay.
Loosen  v. Make or become loose or looser.  loosen a person's tongue make a person talk freely. Loosen up 1 relax. 2 limber up.
Machine  -n. 1 apparatus for applying mechanical power, having several interrelated parts. 2 particular machine, esp. A vehicle or an electrical or electronic apparatus. 3 controlling system of an organization etc. (party machine). 4 person who acts mechanically. 5 (esp. In comb.) Mechanical dispenser with slots for coins (cigarette machine). -v. (-ning) make or operate on with a machine. [greek mekhane]
Barometer  n. 1 instrument measuring atmospheric pressure, used in meteorology. 2 anything which reflects change.  barometric adj. [related to *barograph]
